央视卫视,#genre#
Sky Sports Mix Live TV,http://23.237.228.133/live2/Sky_Sports_Mix_Live_TV.m3u8
Sky Sports Action Live TV,http://23.237.228.133/live2/Sky_Sports_Action_Live_TV.m3u8
Sky Sports Premier League,http://23.237.228.133/live2/Sky_Sports_Premier_League.m3u8
Sky Sports Main Event,http://23.237.228.133/live2/Sky_Sports_Main_Event.m3u8
Sky Sports Football Live TV,http://23.237.228.133/live2/Sky_Sports_Football_Live_TV.m3u8

华语体育,#genre#
广东体育,http://23.237.228.133/live2/guangdongtiyu.m3u8
爱尔达体育1台,http://23.237.228.133/live2/eltasport1.m3u8
爱尔达体育2台,http://23.237.228.133/live2/eltasport2.m3u8
爱尔达体育3台,http://23.237.228.133/live2/eltasport3.m3u8
爱尔达体育4台,http://23.237.228.133/live2/eltasport4.m3u8
NOW SPORTS 英超1,http://23.237.228.133/live2/nowsport1.m3u8
NOW SPORTS 英超2,http://23.237.228.133/live2/nowsport2.m3u8
NOW SPORTS 英超3,http://23.237.228.133/live2/nowsport3.m3u8
NOW SPORTS 英超4,http://23.237.228.133/live2/nowsport4.m3u8
NOW SPORTS 1,http://23.237.228.133/live2/nowsports1.m3u8
NOW SPORTS 2,http://23.237.228.133/live2/nowsports2.m3u8
NOW SPORTS 3,http://23.237.228.133/live2/nowsports3.m3u8
NOW SPORTS 4,http://23.237.228.133/live2/nowsports4.m3u8
晴彩竞技,http://23.237.228.133/live2/migu1.m3u8
晴彩篮球,http://23.237.228.133/live2/migu2.m3u8
咪咕视频1,http://23.237.228.133/live2/migutv1.m3u8
咪咕视频2,http://23.237.228.133/live2/migutv2.m3u8
咪咕视频3,http://23.237.228.133/live2/migutv3.m3u8
咪咕视频4,http://23.237.228.133/live2/migutv4.m3u8
咪咕视频5,http://23.237.228.133/live2/migutv5.m3u8
咪咕视频6,http://23.237.228.133/live2/migutv6.m3u8
咪咕视频7,http://23.237.228.133/live2/migutv7.m3u8
咪咕视频8,http://23.237.228.133/live2/migutv8.m3u8
咪咕视频9,http://23.237.228.133/live2/migutv9.m3u8
咪咕视频10,http://23.237.228.133/live2/migutv10.m3u8
咪咕视频11,http://23.237.228.133/live2/migutv11.m3u8
咪咕视频12,http://23.237.228.133/live2/migutv12.m3u8
咪咕视频13,http://23.237.228.133/live2/migutv13.m3u8
咪咕视频14,http://23.237.228.133/live2/migutv14.m3u8
咪咕视频15,http://23.237.228.133/live2/migutv15.m3u8
咪咕视频16,http://23.237.228.133/live2/migutv16.m3u8
咪咕视频17,http://23.237.228.133/live2/migutv17.m3u8
咪咕视频18,http://23.237.228.133/live2/migutv18.m3u8
咪咕视频19,http://23.237.228.133/live2/migutv19.m3u8
咪咕视频20,http://23.237.228.133/live2/migutv20.m3u8
咪咕视频21,http://23.237.228.133/live2/migutv21.m3u8
咪咕视频22,http://23.237.228.133/live2/migutv22.m3u8
咪咕视频23,http://23.237.228.133/live2/migutv23.m3u8
咪咕视频24,http://23.237.228.133/live2/migutv24.m3u8
咪咕视频25,http://23.237.228.133/live2/migutv25.m3u8
咪咕视频26,http://23.237.228.133/live2/migutv26.m3u8
